epoch,loss,train_acc,val_acc
0,0.9980925217270851,0.8834999978542328,0.9748000073432922
1,0.9059258535504341,0.9396000024676323,0.9912000048160553
2,0.8848758587241172,0.9531000012159347,0.9828000044822693
3,0.8751520296931267,0.9629000005125999,0.9816000056266785
4,0.8686707097291947,0.9708000007271766,0.980800006389618
5,0.8665920352935791,0.9642000016570091,0.990800005197525
6,0.8603748577833176,0.9723000013828278,0.9920000076293946
7,0.858264970779419,0.9741000026464463,0.994000004529953
8,0.8530429196357727,0.9796000012755394,0.9748000037670136
9,0.8546645382046699,0.9720000013709068,0.988800003528595
10,0.8517210483551025,0.9790000006556511,0.9884000027179718
11,0.8535550037026405,0.9729000002145767,0.9864000082015991
12,0.8462097364664077,0.9783000016212463,0.9820000088214874
13,0.8491888877749443,0.9698000010848046,0.9876000046730041
14,0.8489325451850891,0.9716000026464462,0.9916000044345856
15,0.8425470021367073,0.9831000024080276,0.9928000056743622
